# New log file created
2026-03-09 23:11:14,658 INFO: Protocol=TCP, Size=70, Src=140.82.112.21, Dst=192.168.147.246
2026-03-09 23:11:19,059 INFO: Protocol=DNS, Size=88, Src=192.168.147.246, Dst=192.168.147.149
2026-03-09 23:11:19,063 INFO: Protocol=DNS, Size=88, Src=192.168.147.246, Dst=192.168.147.149
2026-03-09 23:11:19,067 INFO: Protocol=DNS, Size=88, Src=192.168.147.246, Dst=192.168.147.149
2026-03-09 23:11:19,360 INFO: Protocol=DNS, Size=172, Src=192.168.147.149, Dst=192.168.147.246
2026-03-09 23:11:19,365 INFO: Protocol=DNS, Size=309, Src=192.168.147.149, Dst=192.168.147.246
2026-03-09 23:11:19,370 INFO: Protocol=DNS, Size=273, Src=192.168.147.149, Dst=192.168.147.246
2026-03-09 23:11:19,804 INFO: Protocol=TCP, Size=66, Src=192.168.147.246, Dst=3.233.158.24
2026-03-09 23:11:19,928 INFO: Protocol=TCP, Size=66, Src=192.168.147.246, Dst=3.233.158.24
2026-03-09 23:11:20,073 INFO: Protocol=TCP, Size=70, Src=3.233.158.24, Dst=192.168.147.246
2026-03-09 23:11:20,657 INFO: Protocol=TCP, Size=70, Src=3.233.158.24, Dst=192.168.147.246
2026-03-09 23:11:21,073 INFO: Protocol=TCP, Size=70, Src=3.233.158.24, Dst=192.168.147.246
2026-03-09 23:11:21,256 INFO: Protocol=TCP, Size=70, Src=3.233.158.24, Dst=192.168.147.246
2026-03-09 23:11:22,031 INFO: Protocol=DNS, Size=74, Src=192.168.147.246, Dst=192.168.147.149
2026-03-09 23:11:22,036 INFO: Protocol=DNS, Size=74, Src=192.168.147.246, Dst=192.168.147.149
2026-03-09 23:11:22,040 INFO: Protocol=DNS, Size=74, Src=192.168.147.246, Dst=192.168.147.149
2026-03-09 23:11:22,043 INFO: Protocol=DNS, Size=74, Src=192.168.147.246, Dst=192.168.147.149
2026-03-09 23:11:22,297 INFO: Protocol=DNS, Size=246, Src=192.168.147.149, Dst=192.168.147.246
2026-03-09 23:11:22,304 INFO: Protocol=DNS, Size=354, Src=192.168.147.149, Dst=192.168.147.246
2026-03-09 23:11:22,828 INFO: Protocol=TCP, Size=70, Src=3.233.158.24, Dst=192.168.147.246
2026-03-09 23:11:23,107 INFO: Protocol=TCP, Size=70, Src=3.233.158.24, Dst=192.168.147.246
2026-03-09 23:11:26,192 INFO: Protocol=DNS, Size=74, Src=192.168.147.246, Dst=192.168.147.149
2026-03-09 23:11:26,350 INFO: Protocol=DNS, Size=74, Src=192.168.147.246, Dst=192.168.147.149
2026-03-09 23:11:26,365 INFO: Protocol=DNS, Size=74, Src=192.168.147.246, Dst=192.168.147.149
2026-03-09 23:11:26,480 INFO: Protocol=DNS, Size=99, Src=192.168.147.149, Dst=192.168.147.246
2026-03-09 23:11:26,484 INFO: Protocol=DNS, Size=102, Src=192.168.147.149, Dst=192.168.147.246
2026-03-09 23:11:26,486 INFO: Protocol=DNS, Size=90, Src=192.168.147.149, Dst=192.168.147.246
2026-03-09 23:11:26,979 INFO: Protocol=TCP, Size=70, Src=3.233.158.24, Dst=192.168.147.246
2026-03-09 23:11:27,244 INFO: Protocol=TCP, Size=70, Src=3.233.158.24, Dst=192.168.147.246
2026-03-09 23:11:27,792 INFO: Protocol=TLS, Size=264, Src=192.168.147.246, Dst=134.224.240.223
2026-03-09 23:11:28,254 INFO: Protocol=TLS, Size=131, Src=134.224.240.223, Dst=192.168.147.246
2026-03-09 23:11:28,270 INFO: Protocol=TCP, Size=54, Src=192.168.147.246, Dst=134.224.240.223
2026-03-09 23:11:35,446 INFO: Protocol=TCP, Size=70, Src=3.233.158.24, Dst=192.168.147.246
2026-03-09 23:11:35,460 INFO: Protocol=TCP, Size=70, Src=3.233.158.24, Dst=192.168.147.246
2026-03-09 23:11:39,794 INFO: Protocol=TLS, Size=77, Src=192.168.147.246, Dst=134.224.240.223
2026-03-09 23:11:40,300 INFO: Protocol=TCP, Size=54, Src=134.224.240.223, Dst=192.168.147.246
2026-03-09 23:11:45,470 INFO: Protocol=DNS, Size=76, Src=192.168.147.246, Dst=192.168.147.149
2026-03-09 23:11:45,473 INFO: Protocol=DNS, Size=76, Src=192.168.147.246, Dst=192.168.147.149
2026-03-09 23:11:45,476 INFO: Protocol=DNS, Size=76, Src=192.168.147.246, Dst=192.168.147.149
2026-03-09 23:11:45,539 INFO: Protocol=DNS, Size=231, Src=192.168.147.149, Dst=192.168.147.246
2026-03-09 23:11:45,547 INFO: Protocol=DNS, Size=462, Src=192.168.147.149, Dst=192.168.147.246
2026-03-09 23:11:45,558 INFO: Protocol=DNS, Size=301, Src=192.168.147.149, Dst=192.168.147.246
2026-03-09 23:11:52,231 INFO: Protocol=DNS, Size=92, Src=192.168.147.246, Dst=192.168.147.149
2026-03-09 23:11:52,235 INFO: Protocol=DNS, Size=92, Src=192.168.147.246, Dst=192.168.147.149
2026-03-09 23:11:52,239 INFO: Protocol=DNS, Size=92, Src=192.168.147.246, Dst=192.168.147.149
2026-03-09 23:11:52,245 INFO: Protocol=DNS, Size=260, Src=192.168.147.149, Dst=192.168.147.246
2026-03-09 23:11:52,251 INFO: Protocol=DNS, Size=227, Src=192.168.147.149, Dst=192.168.147.246
2026-03-09 23:11:52,256 INFO: Protocol=DNS, Size=215, Src=192.168.147.149, Dst=192.168.147.246
2026-03-09 23:11:53,007 INFO: Protocol=TCP, Size=66, Src=192.168.147.246, Dst=52.182.143.211
2026-03-09 23:11:53,281 INFO: Protocol=TCP, Size=70, Src=52.182.143.211, Dst=192.168.147.246
2026-03-09 23:11:54,307 INFO: Protocol=TCP, Size=70, Src=52.182.143.211, Dst=192.168.147.246
2026-03-09 23:11:55,070 INFO: Protocol=DNS, Size=79, Src=192.168.147.246, Dst=192.168.147.149
2026-03-09 23:11:55,089 INFO: Protocol=DNS, Size=79, Src=192.168.147.246, Dst=192.168.147.149
